comment,The Stuyvesant Schedules,,,
period,Homeroom-20,Before School,12:00a,8:00a
period,Homeroom-20,Period 1,8:00a,8:38a
period,Homeroom-20,Period 2,8:42a,9:20a
period,Homeroom-20,Period 3,9:24a,10:02a
period,Homeroom-20,Homeroom-survey,10:06a,10:26a
period,Homeroom-20,Period 4,10:30a,11:08a
period,Homeroom-20,Period 5,11:12a,11:50a
period,Homeroom-20,Period 6,11:54a,12:32p
period,Homeroom-20,Period 7,12:36p,1:14p
period,Homeroom-20,Period 8,1:18p,1:56p
period,Homeroom-20,Period 9,2:00p,2:38p
period,Homeroom-20,Period 10,2:42p,3:20p
period,Homeroom-20,After School,3:20p,11:59p
,,,,
property,student-survey-2,button,Tue-St-Survey,
property,student-survey-2,urlarg,student-survey-2,
property,student-survey-2,description,Tues Student Survey,
period,student-survey-2,Before school,12:00a,8:00a
period,student-survey-2,Period 1,8:00a,8:40a
period,student-survey-2,Period 2,8:45a,9:25a
period,student-survey-2,Period 3,9:29a,10:07a
period,student-survey-2,Homeroom,10:11a,10:37a
period,student-survey-2,Period 4,10:41a,11:19a
period,student-survey-2,Period 5,11:23a,12:01p
period,student-survey-2,Period 6,12:05p,12:43p
period,student-survey-2,Period 7,12:47p,1:25p
period,student-survey-2,Period 8,1:29p,2:07p
period,student-survey-2,Period 9,2:11p,2:50p
period,student-survey-2,Period 10,2:54p,3:35p
period,student-survey-2,After school,3:50p,11:59p
,,,,
property,psat-A,button,Wed-PSAT-Sched-A,
property,psat-A,urlarg,psat-A,
property,psat-A,description,Wed-PSAT-Sched-A,
period,psat-A,Before school,12:00a,8:05a
period,psat-A,PSAT exam,8:05a,11:30a
period,psat-A,Period 1,11:30a,11:53a
period,psat-A,Period 2,11:57a,12:15p
period,psat-A,Period 3,12:19p,12:37p
period,psat-A,Period 4,12:41p,12:59p
period,psat-A,Period 5,1:03p,1:21p
period,psat-A,Period 6,1:25p,1:43p
period,psat-A,Period 7,1:47p,2:05p
period,psat-A,Period 8,2:09p,2:27p
period,psat-A,Period 9,2:31p,2:49P
period,psat-A,Period 10,2:53p,3:11p
period,psat-A,After school,3:11p,11:59p
,,,,
property,psat-B,button,Wed-PSAT-Sched-B,
property,psat-B,urlarg,psat-B,
property,psat-B,description,Wed-PSAT-Sched-B,
period,psat-B,Before school,12:00a,8:05a
period,psat-B,PSAT exam,8:05a,11:45a
period,psat-B,Period 1,11:45a,12:02p
period,psat-B,Period 2,12:06a,12:23p
period,psat-B,Period 3,12:27p,12:44p
period,psat-B,Period 4,12:48p,1:05p
period,psat-B,Period 5,1:09p,1:26p
period,psat-B,Period 6,1:30p,1:47p
period,psat-B,Period 7,1:51p,2:08p
period,psat-B,Period 8,2:12p,2:29p
period,psat-B,Period 9,2:33p,2:50p
period,psat-B,Period 10,2:54p,3:11p
period,psat-B,After school,3:11p,11:59p
,,,,
property,spr-1,button,Tue-Wed-Start,
property,spr-1,urlarg,spr-1,
property,spr-1,description,Tues-Wed Spring Start,
period,spr-1,Before school,12:00a,8:05a
period,spr-1,Homeroom,8:05a,8:15a
